Equipa,Pts_Campeonato,Jogos
GDPeniche,37,22
Eintracht Balselhas FC,35,22
Imparável FC 25/26,35,22
Vala 4 Ever,34,22
MPLF,32,22
União da Póvoa,30,22
Avitaminados 25/26,29,22
506@,28,22
CadeirasRedWine,27,22
FALCON TEAM 25/26,26,22
var aberto 25/26,26,22
LuxTeam,26,22
Bruno Marques,25,22
O VIZINHO,25,22
Vacas F.C.,25,22
Maloio team,24,22
Eskalvlidis,23,22
A GANHADORA,23,22
Caioco F.C.,23,22
Vala 4 Ever ll,22,22
ALGERIZ.F.C,21,22
TATU,21,22
INA,21,22
Andrade FC,20,22
KINETA,20,22
GAIO MARQUES,16,22
MOULin ROUGE,13,22
